Entidad federativa,Año,Trimestre, Tasa de desocupacion,Población Económicamente Activa (PEA). Total,Población desocupada. Total
Oaxaca,2013,4,2.9,1630893,47549
Puebla,2013,4,3.8,2651019,99552
Querétaro,2013,4,6.3,764035,48512
Quintana Roo,2013,4,4.3,732583,31273
San Luis Potosí,2013,4,3.1,1150039,35960
Sinaloa,2013,4,4.7,1326518,62669
Sonora,2013,4,5.8,1356891,78163
Tabasco,2013,4,6.0,979766,59098
Tamaulipas,2013,4,5.8,1608390,93998
Tlaxcala,2013,4,4.9,539756,26211
Veracruz de Ignacio de la Llave,2013,4,3.7,3249207,119199
Yucatán,2013,4,2.5,1002360,24723
Zacatecas,2013,4,4.0,627073,24986
Nacional,2014,4,4.4,52108400,2284602
Aguascalientes,2014,4,5.5,536639,29428
Baja California,2014,4,4.7,1571047,73989
Baja California Sur,2014,4,6.0,368237,22110
Campeche,2014,4,2.6,400431,10261
Coahuila de Zaragoza,2014,4,5.3,1314365,69554
Colima,2014,4,5.0,356667,17843
Chiapas,2014,4,2.9,1865624,53647
Chihuahua,2014,4,4.3,1593911,67872
Ciudad de México,2014,4,6.0,4314435,257145
Durango,2014,4,5.5,744530,40895
Guanajuato,2014,4,4.2,2457663,103265
Guerrero,2014,4,2.1,1438315,30102
Hidalgo,2014,4,3.6,1220081,44295
Jalisco,2014,4,4.9,3517378,172124
México,2014,4,5.3,7265129,383289
Michoacán de Ocampo,2014,4,4.0,1944386,77678
Morelos,2014,4,3.3,810715,27055
Nayarit,2014,4,4.5,555305,24774
Nuevo León,2014,4,4.1,2302251,95447
Oaxaca,2014,4,2.6,1664270,43569
Puebla,2014,4,3.4,2631791,90042
Querétaro,2014,4,5.5,772029,42080
